# Used time: 13.85179877281189 s
# average_objv, maximum_objv
3196645.250000, 3196648.750000
3196645.000000, 3196648.750000
3196644.750000, 3196648.750000
3196645.000000, 3196648.750000
3196645.250000, 3196648.750000
3196645.500000, 3196648.750000
3196641.750000, 3196648.750000
3196642.500000, 3196648.750000
3196640.500000, 3196648.750000
3196640.500000, 3196648.750000
3196640.500000, 3196648.750000
3196639.500000, 3196648.750000
3196639.500000, 3196648.750000
3196640.000000, 3196648.750000
3196640.250000, 3196648.750000
3196640.750000, 3196648.750000
3196642.500000, 3196648.750000
3196642.500000, 3196648.750000
3196626.000000, 3196648.750000
3196626.000000, 3196648.750000
3196616.250000, 3196648.750000
3196616.500000, 3196648.750000
3196619.250000, 3196648.750000
3196622.000000, 3196648.750000
3196620.500000, 3196648.750000
3196621.500000, 3196648.750000
3196621.000000, 3196648.750000
3196621.500000, 3196648.750000
3196621.500000, 3196648.750000
3196621.500000, 3196648.750000
3196630.250000, 3196648.750000
3196630.250000, 3196648.750000
3196633.250000, 3196648.750000
3196633.250000, 3196648.750000
3196634.250000, 3196648.750000
3196635.250000, 3196648.750000
3196635.500000, 3196648.750000
3196635.000000, 3196648.750000
3196635.750000, 3196648.750000
3196635.750000, 3196648.750000
3196635.750000, 3196648.750000
3196635.750000, 3196648.750000
3196635.750000, 3196648.750000
3196637.750000, 3196648.750000
3196637.500000, 3196648.750000
3196638.000000, 3196648.750000
3196637.500000, 3196648.750000
3196641.500000, 3196648.750000
3196641.750000, 3196648.750000
3196641.750000, 3196648.750000
3196641.750000, 3196648.750000
3196647.000000, 3196648.750000
3196647.000000, 3196648.750000
3196647.000000, 3196648.750000
3196647.000000, 3196648.750000
3196647.000000, 3196648.750000
3196647.750000, 3196648.750000
3196646.250000, 3196648.750000
3196647.500000, 3196648.750000
3196647.500000, 3196648.750000
3196639.000000, 3196648.750000
3196639.500000, 3196648.750000
3196641.000000, 3196648.750000
3196641.000000, 3196648.750000
3196641.000000, 3196648.750000
3196641.000000, 3196648.750000
3196641.000000, 3196648.750000
3196641.000000, 3196648.750000
3196641.000000, 3196648.750000
3196648.000000, 3196648.750000
3196648.250000, 3196648.750000
3196648.250000, 3196648.750000
3196648.250000, 3196648.750000
3196648.250000, 3196648.750000
3196647.250000, 3196648.750000
