9.199953793094949788e+02,9.188100461170258768e+02,8.187803351226613131e+02,1.719624558916675596e+03,1.386248044344449681e+03,9.176080394721325320e+02,1.286239216692862101e+03,1.010020341884404161e+03,1.794955589355555958e+03,1.866740152671596888e+03,1.406649654172214241e+03,1.564923021440893535e+03,2.599486850597087596e+03,1.635714205967176667e+03
9.199844900619932559e+02,9.187808759798014080e+02,8.187803685487277789e+02,1.719624584578083841e+03,1.386248208639455925e+03,9.176080431525009544e+02,1.286239704351283990e+03,1.007257331843550901e+03,1.794082356167475382e+03,1.865925090867928475e+03,1.406649664548477404e+03,1.564928366406477835e+03,2.599486906636861022e+03,1.635713951547810893e+03
9.199117760479920207e+02,9.188099447447427792e+02,8.187806057085165321e+02,1.719624610937588841e+03,1.386242202678558442e+03,9.176080399227263342e+02,1.286239154137101195e+03,1.010053230162380487e+03,1.794955754360345054e+03,1.866746887537111888e+03,1.406649659523679247e+03,1.564929948558750539e+03,2.599486730707588322e+03,1.635713941591511912e+03
8.744106600642177227e+02,9.178132975742975077e+02,8.175723166926460408e+02,1.717966334635521889e+03,1.386241221451781030e+03,9.176080080816087730e+02,1.286239725004374350e+03,1.012867180557747247e+03,1.797875670318996072e+03,1.869760284412896226e+03,1.402832706069794995e+03,1.564184502819305408e+03,2.599486909226872740e+03,1.635628516419719517e+03
1.617862020515951372e+03,9.175946575184276526e+02,5.324399639717200898e+02,1.717970837071382221e+03,1.379841363567201824e+03,6.325814532410154243e+02,1.279256077602480445e+03,1.474538041737767799e+03,1.800120337277744738e+03,1.993677024764006546e+03,1.402821741303416729e+03,1.573400532154599205e+03,1.921770421675237685e+03,1.644432736219242543e+03
1.614860572422624273e+03,9.175951018489429316e+02,7.690224178558814856e+02,1.717966747642297150e+03,1.387250683109396959e+03,9.176080493677853838e+02,1.286287215485932165e+03,1.482351325554942377e+03,1.800117876581839027e+03,1.886306899802213820e+03,1.402821011823931485e+03,1.573995302856674243e+03,2.599486927416739036e+03,1.648332528780722896e+03
9.190266294807956911e+02,9.188111337723149745e+02,8.187862097181609897e+02,1.718007987165549821e+03,1.386246082172061733e+03,9.176080120455030738e+02,1.286238980008761473e+03,1.005507395698129926e+03,1.794953639160686407e+03,1.866643402913618502e+03,1.403139791879922768e+03,1.563643295407199275e+03,2.599486906334729156e+03,1.634622155504484681e+03
8.785198236274078454e+02,9.188101575617224626e+02,8.187759258576840011e+02,1.717966408209561223e+03,1.386242319321638433e+03,9.176080443583058468e+02,1.286239184766930066e+03,1.012903623194829493e+03,1.794955538621008145e+03,1.866639165521903351e+03,1.402832760681410946e+03,1.564185930169023095e+03,2.599486732890542044e+03,1.635118739581675072e+03
9.178388015352855973e+02,9.175954944343062607e+02,1.022285577367069550e+03,1.718041830824891576e+03,1.830966946127049823e+03,9.176080167760441100e+02,1.568114511192335840e+03,1.002216353102651169e+03,1.800112538057506526e+03,1.876969225606371992e+03,1.402828278661477952e+03,1.483926719488383469e+03,2.599486916078957620e+03,1.351424314690628535e+03
9.178387916821477575e+02,9.175955256333213583e+02,1.029766651974179695e+03,1.717965434941921785e+03,1.835282920976575042e+03,9.176080189804265501e+02,1.527505783716255337e+03,1.002216355409721700e+03,1.800112563644725924e+03,1.879463824333235380e+03,1.402828771978925715e+03,1.480935145067004441e+03,2.599486739161982769e+03,1.313016620296075871e+03
